resume_id,category,best_job_title,best_job_match_pct
39,Other,Healthcare Data Analyst,39.1
169,Other,DevOps Engineer,58.7
93,Business Analyst,Backend Engineer,51.9
62,Project Manager,Data & Analytics Consultant,39.3
198,Other,DevOps Engineer,61.4
114,Project Manager,Backend Engineer,54.2
38,Other,DevOps Engineer,37.0
123,Other,DevOps Engineer,46.7
106,Other,Backend Engineer,64.1
89,Business Analyst,Healthcare Data Analyst,41.6
4,Other,Backend Engineer,59.5
105,Other,DevOps Engineer,56.1
194,Other,DevOps Engineer,53.4
95,Other,Backend Engineer,51.7
207,Other,Backend Engineer,66.0
108,Other,Backend Engineer,65.1
31,Business Analyst,Hardware Validation Engineer,51.8
107,Other,DevOps Engineer,64.0
67,Business Systems Analyst,Backend Engineer,64.6
209,Other,Backend Engineer,61.0
